airport;date;actual_max_temp;average_max_temp;record_max_temp;actual_min_temp;average_min_temp;record_min_temp
BOS;10/06/2015;82;74;96;62;58;45
BOS;28/04/2015;64;60;93;42;45;30
SEA;03/02/2015;50;49;63;42;37;8
SEA;28/11/2015;45;48;59;27;37;17
SEA;27/11/2015;49;48;58;29;38;19
AUS;26/06/2015;92;94;106;74;71;62
BOS;15/11/2015;54;52;78;37;38;17
BOS;26/11/2015;59;48;67;38;35;12
SEA;23/03/2015;52;55;68;42;40;28
BOS;08/02/2015;29;38;66;13;24;-12
SEA;15/06/2015;86;70;88;61;52;43
BOS;23/05/2015;65;68;93;44;52;40
AUS;17/06/2015;87;93;104;67;70;62
BOS;19/02/2015;30;40;65;10;25;4
BOS;04/11/2015;60;55;78;49;41;21
SEA;27/08/2015;85;75;88;58;55;44
BOS;14/05/2015;69;65;86;49;49;37
AUS;17/04/2015;74;80;100;65;55;31
BOS;22/02/2015;39;40;66;28;26;2
AUS;02/04/2015;83;77;91;67;51;38
SEA;05/08/2015;74;77;93;54;57;49
BOS;15/07/2015;82;82;98;67;66;54
BOS;14/03/2015;39;45;76;31;30;12
SEA;05/05/2015;58;63;86;45;45;36
AUS;28/07/2015;99;96;104;73;72;68
AUS;28/02/2015;37;68;87;31;42;24
BOS;04/07/2015;72;81;104;62;64;53
BOS;05/03/2015;39;42;72;18;28;-4
SEA;24/12/2015;42;45;62;36;35;16
AUS;17/02/2015;54;65;92;30;40;22
AUS;29/05/2015;87;90;98;64;67;54
BOS;16/10/2015;61;61;88;50;46;30
AUS;02/02/2015;47;63;85;33;37;8
SEA;22/12/2015;46;45;57;37;35;14
BOS;05/08/2015;85;81;100;65;66;54
SEA;18/06/2015;76;70;94;57;52;43
BOS;17/06/2015;69;77;95;59;60;48
AUS;19/12/2015;67;63;84;28;36;24
AUS;04/06/2015;89;91;99;63;69;58
BOS;20/06/2015;75;78;98;58;61;47
SEA;14/05/2015;64;65;87;49;47;36
SEA;15/11/2015;48;51;62;36;40;6
SEA;23/05/2015;61;66;90;53;49;37
AUS;26/08/2015;95;95;103;69;70;60
SEA;03/09/2015;65;74;92;51;54;45
SEA;27/01/2015;52;48;58;47;37;11
SEA;16/09/2015;68;71;91;50;52;44
